Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
Chaos Bit Shuffle (Orig),contiguous_crop,0.250000,14.088309,0.158127,11277.546114
Chaos Bit Shuffle (Orig),contiguous_crop,0.500000,11.409222,0.076170,14987.553343
Chaos Bit Shuffle (Orig),contiguous_crop,0.750000,9.991132,0.034989,17075.961460
Chaos Bit Shuffle (Orig),crop,0.100000,17.850058,0.309988,7388.212542
Chaos Bit Shuffle (Orig),crop,0.250000,14.081341,0.160234,11273.774825
Chaos Bit Shuffle (Orig),crop,0.500000,11.430513,0.078251,14964.933165
Chaos Bit Shuffle (Orig),crop,0.750000,10.043735,0.036774,17023.280808
Chaos Bit Shuffle (Orig),tamper,0.100000,18.015866,0.323536,7240.765671
Chaos Bit Shuffle (Orig),tamper,0.250000,14.209041,0.163428,11126.430298
Chaos Bit Shuffle (Orig),tamper,0.500000,11.479440,0.079633,14894.230430
Chaos Bit Shuffle (Orig),tamper,0.750000,10.063660,0.039056,16986.134779
Chaos Bit Shuffle (Orig),salt_pepper,0.010000,27.581712,0.813480,2418.429291
Chaos Bit Shuffle (Orig),salt_pepper,0.050000,20.821408,0.465429,5260.388414
Chaos Bit Shuffle (Orig),salt_pepper,0.100000,17.752681,0.307857,7458.882599
Chaos Bit Shuffle (Orig),salt_pepper,0.200000,14.952209,0.190359,10249.113335
Chaos Bit Shuffle (Orig),gaussian,0.000010,14.495522,0.171458,10818.501457
Chaos Bit Shuffle (Orig),gaussian,0.000100,12.110454,0.095923,13990.047474
Chaos Bit Shuffle (Orig),gaussian,0.001000,10.756724,0.059658,16023.844804
Chaos Bit Shuffle (Orig),gaussian,0.010000,9.951480,0.034068,17239.383431
Chaos Bit Shuffle (Opt),contiguous_crop,0.100000,17.878348,0.312916,7357.144698
Chaos Bit Shuffle (Opt),contiguous_crop,0.250000,14.251242,0.162947,11085.641403
Chaos Bit Shuffle (Opt),contiguous_crop,0.500000,11.509166,0.078797,14850.960378
Chaos Bit Shuffle (Opt),contiguous_crop,0.750000,10.103570,0.038789,16940.258274
Chaos Bit Shuffle (Opt),crop,0.100000,17.905319,0.313661,7334.566696
Chaos Bit Shuffle (Opt),crop,0.250000,14.118456,0.163756,11232.585196
Chaos Bit Shuffle (Opt),crop,0.500000,11.462327,0.076830,14931.138026
Chaos Bit Shuffle (Opt),crop,0.750000,10.085618,0.038111,17013.550325
Chaos Bit Shuffle (Opt),tamper,0.100000,17.834970,0.312955,7396.425577
Chaos Bit Shuffle (Opt),tamper,0.250000,14.249772,0.163668,11073.434757
Chaos Bit Shuffle (Opt),tamper,0.500000,11.508330,0.077588,14839.394341
Chaos Bit Shuffle (Opt),tamper,0.750000,10.097773,0.037108,16962.655143
Chaos Bit Shuffle (Opt),salt_pepper,0.010000,27.915939,0.829115,2325.827371
Chaos Bit Shuffle (Opt),salt_pepper,0.050000,21.107425,0.482947,5086.752179
Chaos Bit Shuffle (Opt),salt_pepper,0.100000,17.973092,0.313861,7283.212819
Chaos Bit Shuffle (Opt),salt_pepper,0.200000,15.007476,0.192209,10166.590592
Chaos Bit Shuffle (Opt),gaussian,0.000010,13.675602,0.144887,11792.418118
Chaos Bit Shuffle (Opt),gaussian,0.000100,11.794109,0.087682,14494.903437
Chaos Bit Shuffle (Opt),gaussian,0.001000,10.594454,0.054547,16277.577038
